출판사,작가,도서/강연제목,대상,강연방식,주제/소개,상세페이지,이미지URL
내일도맑음,"윤정 (지은이), 유영근 (그림)",<박뽕남 할머니의 수상한 외출 - 박뽕남 할머니의 네 번째 이야기> 윤정 작가와의 만남,어린이(저학년),비대면,일반 강연 문학,https://www.bookseed.kr/program/lecture/lecture_20260827134136028_8948f9d9,
한림출판사,명하나 (지은이),<꽃이 되는 말> 명하나 작가와의 만남,어린이(저학년),비대면,"창작 그림책, 독서활동",https://www.bookseed.kr/program/lecture/lecture_20260826144201765_1ce79815,
국민서관,명하나 (지은이),<나의 비밀.> 명하나 작가와의 만남,어린이(저학년),비대면,"창작 그림책, 독서활동",https://www.bookseed.kr/program/lecture/lecture_20260826142708391_da26f6a8,
머스트비,"정희용 (지은이), 김민정 (그림)",<삐리꼴라의 방학 숙제> 정희용 작가와의 만남 : 걱정대장 삐리꼴라도 쉽게 쓰는 글쓰기 비법,어린이(저학년),비대면,일반 강연 문학,https://www.bookseed.kr/program/lecture/lecture_20260825101911028_6e3c91f5,
보랏빛소어린이,"한유진 (지은이), 이수현 (그림)","<무엇이든 바꿔 주는 산신령 뽀글> 한유진 작가와의 만남 : 산신령 뽀글과 함께 찾는 물건의 새로운 가치 (환경, 나다움 강연)",어린이(저학년),비대면,"활동/워크숍 독서활동, 문학",https://www.bookseed.kr/program/lecture/lecture_20260825011624003_83d75a57,
주니어김영사,"서지원 (지은이), 윤동 (그림)","<잘났냥 뀨 1> 서지원 작가와의 만남 :학교에 온 AI 고양이 뀨, 무엇이든 물어봐! (AI를 똑똑하게 활용하는 힘 기르기)",어린이(저학년),비대면,일반 강연 문학,https://www.bookseed.kr/program/lecture/lecture_20260821125143876_aa16d17a,
뭉치,"백은영 (지은이), 김이주 (그림)",<똥 박사와 수상한 자판기 1 - 똥이 도망쳤다!> 백은영 작가와의 만남,어린이(저학년),대면/미정,"독서 과학, 교과",https://www.bookseed.kr/program/lecture/lecture_20260818165918267_559332e4,
이지북,"박현숙 (지은이), 신소라 (그림)",<너를 빌려줘 - 친구 사용 쿠폰이 발급되었습니다> 박현숙 작가와의 만남 : 친구 관계가 고민될 때,어린이(저학년),비대면,일반 강연 문학,https://www.bookseed.kr/program/lecture/lecture_20260813132708456_a378ef34,
수줍은삐삐,"상자 (지은이), 민지은 (그림)",<덜덜덜 긴장 사총사> 상자 작가와의 만남,어린이(저학년),비대면,활동/워크숍 문학,https://www.bookseed.kr/program/lecture/lecture_20260813111527805_e95d448a,
서사원주니어,"권귀헌 (지은이), 남동완 (그림)",<신기방기 방기봉> 권귀헌 작가와의 만남,어린이(저학년),비대면,일반 강연 교양/문화,https://www.bookseed.kr/program/lecture/lecture_20260812171649516_7208ccdb,
출판놀이,"이진아 (지은이), 전성순 (그림)","<엉덩이 소동> 이진아 작가와의 만남: 엉뚱해서 더 즐거운 동화 속으로, 유쾌한 이야기 읽기",어린이(저학년),비대면,"일반 강연 문학, art",https://www.bookseed.kr/program/lecture/lecture_20260812162858367_ac66b136,
출판놀이,"이진우 (지은이), 김용철 (그림)",<요리조리 토리 씨> 작가와의 만남 : 함께 하는 말놀이 모험,어린이(저학년),비대면,"일반 강연 문학, art",https://www.bookseed.kr/program/lecture/lecture_20260812162116762_0cd596b6,
와이즈만BOOKs(와이즈만북스),"김영진 (지은이), 김보경 (그림), 와이즈만 영재교육연구소 (감수)",<숫자에 속지 않는 뻔뻔한 과학책> 김영진 작가와의 만남,어린이(저학년),대면/미정,일반 강연 기타,https://www.bookseed.kr/program/lecture/lecture_20260810115322281_0394eac2,
창비,"김륭 (지은이), 방현일 (그림)",『별에 다녀오겠습니다』 김륭 작가와의 만남,어린이(저학년),대면/미정,"일반 강연 문학, creative",https://www.bookseed.kr/program/lecture/lecture_20260810092104309_991c19e2,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F533266%3Ftimestamp%3D20231124150116
상상아카데미,"정원영 (지은이), 이정화 (그림)",<뽑기를 했을 뿐인데 과학이 따라왔어!> 정원영 작가와의 만남,어린이(저학년),대면/미정,일반 강연 과학,https://www.bookseed.kr/program/lecture/lecture_20260807151029135_c0b5b024,
상상아카데미,"임가은 (지은이), 이지현 (그림)",<한 권으로 끝내는 나의 완벽한 여름 방학 : 3학년> 임가은 작가와의 만남,어린이(저학년),대면/미정,일반 강연 교과,https://www.bookseed.kr/program/lecture/lecture_20260807150843988_bbceb177,
상상아카데미,"이고은 (지은이), 다나 (그림)",<신기한 심리 실험실 - 알쏭달쏭 마음이 궁금해?> 이고은 작가와의 만남,어린이(저학년),대면/미정,일반 강연 교양/문화,https://www.bookseed.kr/program/lecture/lecture_20260807143805257_9e6dff21,
상상아카데미,"동지아 (지은이), 차상미 (그림)",<체리 밴드> 동지아 작가와의 만남,어린이(저학년),대면/미정,일반 강연 문학,https://www.bookseed.kr/program/lecture/lecture_20260807143450492_bb8872d7,
문학동네,"윤성은 (지은이), 경혜원 (그림)",<금순이가 기다립니다> 윤성은 작가와의 만남,어린이(저학년),대면/미정,"일반 강연 문학, 인문",https://www.bookseed.kr/program/lecture/lecture_20260807131825212_d8a3f771,
고래뱃속,"윤성은 (지은이), 김근아 (그림)","<안녕, 내 사랑!> 윤성은 작가와의 만남",어린이(저학년),대면/미정,"일반 강연 문학, 인문",https://www.bookseed.kr/program/lecture/lecture_20260807131550639_9a0f1387,
문학동네,"윤성은 (지은이), 김보라 (그림)",<하루하루 오하루> 윤성은 작가와의 만남,어린이(저학년),대면/미정,"일반 강연 문학, 인문",https://www.bookseed.kr/program/lecture/lecture_20260807131240269_70cb5537,
창비,나이 (지은이),<마나의 편지> 나이 작가와의 만남,어린이(저학년),대면/미정,활동/워크숍 그림책,https://www.bookseed.kr/program/lecture/lecture_20260807103643243_3532391d,
노란상상,윤담요 (지은이),<콩 심은 데 아이스크림> 윤담요 작가와의 만남,어린이(저학년),비대면,"일반 강연 그림책, creative",https://www.bookseed.kr/program/lecture/lecture_20260807102334840_763608b8,
창비,"배지영 (지은이), 박현주 (그림)",『내 꿈은 조퇴』 배지영 작가와의 만남 :너무 아픈 다음에 생기는 좋은 일,어린이(저학년),비대면,"일반 강연 문학, 사회",https://www.bookseed.kr/program/lecture/lecture_20260806094758619_67e62c8f,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F5398948%3Ftimestamp%3D20250521210314
창비,"최나미 (지은이), 신지수 (그림)",『고래가 뛰는 이유』 최나미 작가와의 만남,어린이(저학년),대면/미정,"일반 강연 문학, creative",https://www.bookseed.kr/program/lecture/lecture_20260806092827906_38798561,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F533068%3Ftimestamp%3D20231124152442
창비,"차나무 (지은이), 노준구 (그림)","『호로로 히야, 그리는 대로』 차나무 작가와의 만남 :감정이입을 통한 공감능력 키우기",어린이(저학년),대면/미정,"일반 강연 문학, art",https://www.bookseed.kr/program/lecture/lecture_20260805150641743_bf022a14,https://search1.kakaocdn.net/thumb/R120x174.q85/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flbook%2Fimage%2F533508%3Ftimestamp%3D20231124171354
노란돼지,백혜영,<멜로우빈 히어로 : 감정 씨앗을 지켜라!> 백혜영 작가와의 만남 : 나만의 감정 씨앗 만들기,어린이(저학년),대면/미정,"활동/워크숍 그림책, 문학",https://www.bookseed.kr/program/lecture/lecture_20260805143159464_0937dfa4,
"미래아이(미래M&B,미래엠앤비)",강병인 (지은이),<한글 숲의 동물들> 강병인 작가와의 만남: 한글에 생명을 불어넣는 멋글씨의 세계,어린이(저학년),비대면,"일반 강연 그림책, art",https://www.bookseed.kr/program/lecture/lecture_20260804170708153_17d68cdd,
페이퍼독,박모일 (지은이),<일기예보> 박모일 작가와의 만남 :마음을 전하는 일기예보,어린이(저학년),비대면,활동/워크숍 그림책,https://www.bookseed.kr/program/lecture/lecture_20260804124437532_196dba06,
스마트베어,"홍우식 (지은이), 공룡알도난사건 (감수), 월드잇",<한 컷으로 보는 100마리 공룡책> 홍우식 작가와의 만남,어린이(저학년),비대면,일반 강연 과학,https://www.bookseed.kr/program/lecture/lecture_20260803213807565_99aee4be,
찰리북,김종민 (지은이),<수상한 그림책방> 김종민 작가와의 만남 : 명작동화를 책으로 만들어 보기,어린이(저학년),비대면,"창작 문학, 그림책",https://www.bookseed.kr/program/lecture/lecture_20260803141015951_522852da,
노란돼지,차영경,<마음요리 2> 차영경 작가와의 만남 : 힐링 마음급식 만들기,어린이(저학년),비대면,"활동/워크숍 그림책, 독서활동",https://www.bookseed.kr/program/lecture/lecture_20260731085720626_a2acb69d,
서사원주니어,"오현선 (지은이), 파프리 (그림)",<한번 보면 입에 착 붙는 맞춤법> 오현선 작가와의 만남,어린이(저학년),비대면,일반 강연 교양/문화,https://www.bookseed.kr/program/lecture/lecture_20260730173630629_c6b4e90d,
찰리북,주현조 (지은이),<따끈따끈 말 베이커리> 주현조 작가와의 만남 :함께 말 빵 만들어 보기,어린이(저학년),비대면,"창작 creative, 그림책",https://www.bookseed.kr/program/lecture/lecture_20260730150932030_16c52a16,
꿈터,"김바다 (지은이), 김이조 (그림)","<튼튼한 몸을 위한 먹거리 고기> 김바다 작가와의 만남 :잘먹고잘살자(에너지를 내는 먹거리 , 고기)",어린이(저학년),비대면,"일반 강연 교양/문화, 과학",https://www.bookseed.kr/program/lecture/lecture_20260730122855277_8d1e28f1,
노는날,"소하연 (지은이), 조승연 (그림)",<번쩍 씨네 조명 가게> 소하연 작가와의 만남,어린이(저학년),비대면,"일반 강연 문학, 교양/문화",https://www.bookseed.kr/program/lecture/lecture_20260729093054494_2dece7cc,
노는날,"김리하 (지은이), 주쓰 (그림)",<여기는 10분 학교> 김리하 작가와의 만남,어린이(저학년),비대면,일반 강연 문학,https://www.bookseed.kr/program/lecture/lecture_20260729092630575_4bf2d99e,
노는날,송태고 (지은이),<용궁 공주와 솜사탕> 송태고 작가와의 만남,어린이(저학년),비대면,활동/워크숍 그림책,https://www.bookseed.kr/program/lecture/lecture_20260729092210156_11cc880f,
북멘토(도서출판),오드 (지은이),<길냥이 사무소 옹샘 시리즈> 오드 작가와의 만남 : 고양이 감정 이모티콘 만들기,어린이(저학년),비대면,"활동/워크숍 문학, 독서활동",https://www.bookseed.kr/program/lecture/lecture_20260727192318035_089ebb21,
